iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
97,2682.720515797153,2023-02-03 18:56:14.214499,2023-02-03 18:56:50.938330,0 days 00:00:36.723831,9,0.7754165328931638,0.029291406954033285,0.0017055679121518938,0.00797492964893136,11,540,933,365,0.9443692578147552,COMPLETE
99,2682.935050021752,2023-02-03 18:57:33.596386,2023-02-03 18:58:08.586189,0 days 00:00:34.989803,9,0.7740846862215973,0.029184454648919854,0.0017121824125290509,0.00798093939723957,11,540,933,365,0.9451461439305886,COMPLETE
91,2683.543394540615,2023-02-03 18:52:20.926629,2023-02-03 18:52:55.384525,0 days 00:00:34.457896,9,0.7771371231698154,0.029353032590093354,0.0018019425170837462,0.007992833652514481,11,540,931,365,0.94195614585764,COMPLETE
81,2683.8655285902505,2023-02-03 18:45:24.972047,2023-02-03 18:46:07.929932,0 days 00:00:42.957885,9,0.7810298914705549,0.029965521522056303,0.0018454531645776386,0.007997281781346025,11,540,929,364,0.9445495450286919,COMPLETE
95,2684.0319524357337,2023-02-03 18:54:57.440130,2023-02-03 18:55:30.658892,0 days 00:00:33.218762,9,0.7768806998901799,0.02929518741478125,0.001719122875394046,0.00797802421617206,11,540,932,365,0.9445405052854661,COMPLETE
90,2684.0611166535114,2023-02-03 18:51:43.671899,2023-02-03 18:52:17.308548,0 days 00:00:33.636649,9,0.7769730162804741,0.02998810947211753,0.001798326187072872,0.0079999938066236,11,540,931,365,0.9440801811903029,COMPLETE
93,2684.2510569903025,2023-02-03 18:53:39.735873,2023-02-03 18:54:15.338786,0 days 00:00:35.602913,9,0.7767264770834673,0.029273292448910592,0.001713095481784137,0.007997545812763343,11,540,932,365,0.9437947287453554,COMPLETE
80,2684.266933852748,2023-02-03 18:44:22.699354,2023-02-03 18:45:04.722240,0 days 00:00:42.022886,9,0.7808797984224103,0.029492046252336684,0.0018465245134320636,0.007998560124063274,11,540,929,364,0.9404325150592714,COMPLETE
94,2684.3225138201965,2023-02-03 18:54:19.104865,2023-02-03 18:54:53.633466,0 days 00:00:34.528601,9,0.7764534145012044,0.029416599136269858,0.0017256209942327692,0.007998157684706155,11,540,932,365,0.9441557799508322,COMPLETE
92,2684.4789929783433,2023-02-03 18:52:59.222507,2023-02-03 18:53:35.199207,0 days 00:00:35.976700,9,0.7763276547120838,0.029352289283542943,0.0017226084945329207,0.0079985268255875,11,540,931,365,0.9412961969436918,COMPLETE
83,2684.6542068491585,2023-02-03 18:46:50.484290,2023-02-03 18:47:24.363526,0 days 00:00:33.879236,9,0.7807846401238255,0.029959870611771737,0.0018589354302912537,0.007996258268483207,11,540,929,364,0.939933543687248,COMPLETE
