iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
91,2682.836559981373,2023-01-21 17:47:49.211692,2023-01-21 17:48:17.603528,0 days 00:00:28.391836,9,0.7880330316477893,0.02046189211067333,0.0010249818120010533,0.007943157269696874,11,541,935,350,0.9499843826189689,COMPLETE
96,2683.393996129851,2023-01-21 17:51:17.437406,2023-01-21 17:51:59.675917,0 days 00:00:42.238511,9,0.7843189586456715,0.020872249472967817,0.0011167265750818025,0.007974170303919495,11,541,934,350,0.9499873286930992,COMPLETE
86,2683.508468619154,2023-01-21 17:44:37.800570,2023-01-21 17:45:06.518348,0 days 00:00:28.717778,9,0.7876730864615384,0.02103438195599483,0.0010206497057000004,0.007961021051007652,11,541,934,350,0.947275867724612,COMPLETE
76,2683.708697872523,2023-01-21 17:38:05.669108,2023-01-21 17:38:34.242407,0 days 00:00:28.573299,9,0.7851428840457524,0.020531274702295748,0.00107891361741604,0.007951792320804455,11,540,934,352,0.9498562903718222,COMPLETE
71,2683.811007605711,2023-01-21 17:34:46.100953,2023-01-21 17:35:29.401377,0 days 00:00:43.300424,9,0.7885192152122682,0.020594824717361963,0.0010223696570860127,0.00796814252564533,11,542,931,351,0.9499893318267599,COMPLETE
75,2683.859927367312,2023-01-21 17:37:30.457898,2023-01-21 17:38:00.718632,0 days 00:00:30.260734,9,0.7845155518471416,0.02062818973954884,0.0010803010119778676,0.007952723677189714,11,541,932,350,0.9449167879792856,COMPLETE
78,2683.982299940065,2023-01-21 17:39:32.373277,2023-01-21 17:40:01.025440,0 days 00:00:28.652163,9,0.7820848840883614,0.020899310256505092,0.0011414125378249199,0.007951748094628192,11,540,935,351,0.9439212735879748,COMPLETE
73,2684.2675469647065,2023-01-21 17:36:16.970094,2023-01-21 17:36:50.235133,0 days 00:00:33.265039,9,0.7871057993930977,0.02090028163057314,0.0010783804581620809,0.007955197107880814,11,542,932,351,0.9498027390677711,COMPLETE
97,2684.278311406809,2023-01-21 17:52:05.007411,2023-01-21 17:52:33.414470,0 days 00:00:28.407059,9,0.7844671935223978,0.02088231738757018,0.0011174081272141792,0.007991337324842621,11,541,934,350,0.9412518480356121,COMPLETE
46,2684.3002011802787,2023-01-21 17:16:00.376088,2023-01-21 17:16:53.213205,0 days 00:00:52.837117,9,0.7893624223643202,0.020506647246020377,0.001041500255563155,0.007975765271507163,11,543,931,352,0.9484734122812543,COMPLETE
77,2684.347344196052,2023-01-21 17:38:39.116135,2023-01-21 17:39:26.662770,0 days 00:00:47.546635,9,0.7844921110327752,0.020626448410744434,0.0011415248565182065,0.007951302591072953,11,540,934,351,0.9435777680919186,COMPLETE
45,2684.370918543488,2023-01-21 17:15:25.571017,2023-01-21 17:15:54.301215,0 days 00:00:28.730198,9,0.788884018429046,0.020382252869656437,0.0010386737584841266,0.007970466037648012,11,543,931,352,0.9497722568037396,COMPLETE
64,2684.407795770085,2023-01-21 17:29:13.825114,2023-01-21 17:29:52.032347,0 days 00:00:38.207233,9,0.7882691450094258,0.020718054510770658,0.0010329894889118797,0.007936267385557303,11,542,932,350,0.9498317914875888,COMPLETE
92,2684.4712136726885,2023-01-21 17:48:23.414144,2023-01-21 17:49:00.861249,0 days 00:00:37.447105,9,0.7880383769153845,0.020471977283738157,0.0010175650541005797,0.007944885939964546,11,541,935,351,0.9468921244760644,COMPLETE
52,2684.594197255446,2023-01-21 17:20:34.582025,2023-01-21 17:21:18.435101,0 days 00:00:43.853076,9,0.7910742445507158,0.020346335114816677,0.0010841398719406371,0.007976239554252536,11,544,931,352,0.9492746053593604,COMPLETE
82,2684.637586459289,2023-01-21 17:42:02.554880,2023-01-21 17:42:31.540135,0 days 00:00:28.985255,9,0.7844409453483867,0.020674262153463345,0.00115132779462508,0.0079211778484588,11,541,934,351,0.94658150139823,COMPLETE
51,2684.6395490553086,2023-01-21 17:19:46.774373,2023-01-21 17:20:21.776735,0 days 00:00:35.002362,9,0.789206531104335,0.02001963874628923,0.0010919683016987788,0.007975203575257508,11,543,931,352,0.9495086674078996,COMPLETE
55,2684.7854230277403,2023-01-21 17:22:37.197588,2023-01-21 17:23:11.587589,0 days 00:00:34.390001,9,0.7860115305959962,0.021463573622261308,0.0010051314586821069,0.007986771562182405,11,542,931,350,0.9402149649478626,COMPLETE
61,2684.8061628125783,2023-01-21 17:26:28.013459,2023-01-21 17:27:10.174606,0 days 00:00:42.161147,9,0.7903712761338595,0.02112603613414533,0.00100018467641478,0.007939285209178915,11,542,931,353,0.945583134344462,COMPLETE
81,2684.812877873087,2023-01-21 17:41:18.059282,2023-01-21 17:41:56.641043,0 days 00:00:38.581761,9,0.7822216792366063,0.02085059000018022,0.0010675572018716338,0.007952323596990924,11,540,935,350,0.9437537748232605,COMPLETE
70,2684.8956684060054,2023-01-21 17:34:01.383619,2023-01-21 17:34:38.983823,0 days 00:00:37.600204,9,0.7886261028285423,0.021331059532402618,0.0010192705261529284,0.00796394907897315,11,542,931,351,0.9402256003148076,COMPLETE
79,2684.9173086060423,2023-01-21 17:40:05.998739,2023-01-21 17:40:36.100945,0 days 00:00:30.102206,9,0.7819714516345838,0.020908449322229645,0.0011491163745478742,0.007923630165835256,11,540,935,351,0.9439007204120154,COMPLETE
34,2684.934578662144,2023-01-21 17:07:40.351377,2023-01-21 17:08:19.271484,0 days 00:00:38.920107,9,0.7926585823503008,0.021172605226335857,0.001060403715788183,0.007977642526015549,11,542,930,353,0.945279518153269,COMPLETE
72,2684.9604283304957,2023-01-21 17:35:34.760967,2023-01-21 17:36:11.485041,0 days 00:00:36.724074,9,0.7903499723492933,0.020690596740299647,0.0010431360403971618,0.007988858319729111,11,543,931,350,0.9471523890854211,COMPLETE
89,2684.9660899944756,2023-01-21 17:46:27.506175,2023-01-21 17:47:08.655406,0 days 00:00:41.149231,9,0.7817684511762418,0.0210066589918317,0.0010492302571368038,0.007990858422603242,11,541,934,352,0.943505830182379,COMPLETE
41,2685.026297250293,2023-01-21 17:12:40.741384,2023-01-21 17:13:15.743773,0 days 00:00:35.002389,9,0.7915111591785067,0.021126601230226267,0.0010332083669911342,0.007941180307749526,11,542,931,353,0.9424581688713423,COMPLETE
