iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
3757,9568.150263444319,2022-04-05 02:29:41.252505,2022-04-05 02:29:50.046728,0 days 00:00:08.794223,9,0.7976053726037338,0.026035844026317617,0.0015275421945347637,0.007767843029617384,10,543,927,358,0.8963936092554716,COMPLETE
3492,9568.150319936103,2022-04-05 01:44:51.662051,2022-04-05 01:45:00.403270,0 days 00:00:08.741219,10,0.807397294352608,0.012274251598622781,0.0009177357886326497,0.00779396332324324,10,543,934,414,0.896568978671043,COMPLETE
2599,9568.150671579697,2022-04-04 23:20:42.648505,2022-04-04 23:20:50.681541,0 days 00:00:08.033036,9,0.8109748241962076,0.010737267098024996,0.002394514224237008,0.007979764955180239,10,543,960,369,0.8962463018493786,COMPLETE
4187,9568.151003852994,2022-04-05 03:43:02.649463,2022-04-05 03:43:11.801356,0 days 00:00:09.151893,10,0.794377362461506,0.02513195931116641,0.003076706962756825,0.00786067061695019,10,540,990,390,0.8921906098345184,COMPLETE
4976,9568.152098657236,2022-04-05 06:02:45.366627,2022-04-05 06:02:54.847925,0 days 00:00:09.481298,10,0.7952172103636541,0.012904118539752716,0.0018236035451974111,0.007715594872203348,10,540,939,300,0.8964994504162822,COMPLETE
734,9568.152202808422,2022-04-04 18:35:59.762771,2022-04-04 18:36:06.793335,0 days 00:00:07.030564,9,0.7977998488436212,0.011207256045963777,0.002235259572416811,0.007873553505016073,10,542,649,523,0.8937828989376108,COMPLETE
3598,9568.152247295713,2022-04-05 02:03:32.083816,2022-04-05 02:03:40.774058,0 days 00:00:08.690242,10,0.7890775654760609,0.011778697073705725,0.0009334586543513611,0.007870922177122675,10,545,716,377,0.8999531775479869,COMPLETE
4161,9568.152326952868,2022-04-05 03:38:24.178056,2022-04-05 03:38:33.140842,0 days 00:00:08.962786,10,0.7948247231482315,0.02845920730531113,0.0017537325328817526,0.007912708273656316,10,540,974,380,0.8960895432488802,COMPLETE
1650,9568.152477704924,2022-04-04 20:54:14.067030,2022-04-04 20:54:21.853627,0 days 00:00:07.786597,10,0.7981922436799403,0.025205723321266915,0.0012994408444197188,0.007897360675328865,10,540,440,374,0.8912443223129967,COMPLETE
4243,9568.152514754034,2022-04-05 03:53:48.113674,2022-04-05 03:53:57.035015,0 days 00:00:08.921341,10,0.7915584257108245,0.02502283106141417,0.001676420062788139,0.007883811026015475,10,542,963,405,0.8964543672501404,COMPLETE
1164,9568.153384666492,2022-04-04 19:39:43.759874,2022-04-04 19:39:51.011102,0 days 00:00:07.251228,9,0.833302411296261,0.011268566847051664,0.001246670087511761,0.007706789691527726,10,540,991,375,0.8915138504487587,COMPLETE
4982,9568.153575812514,2022-04-05 06:03:43.998220,2022-04-05 06:03:53.545712,0 days 00:00:09.547492,10,0.7869845732095857,0.012379559546616065,0.0023602901659790744,0.007823145758294087,10,543,926,316,0.8960408433518802,COMPLETE
293,9568.153711133637,2022-04-04 17:30:47.173798,2022-04-04 17:30:54.151719,0 days 00:00:06.977921,9,0.7663795737208667,0.026393665533116405,0.0020811582998992995,0.007549864024720996,10,540,939,324,0.8927710992377996,COMPLETE
587,9568.153779243983,2022-04-04 18:15:45.749532,2022-04-04 18:15:52.685402,0 days 00:00:06.935870,9,0.7880231185507803,0.028707940766586657,0.0016445717038053019,0.007776725211199559,10,539,989,356,0.8960194351957822,COMPLETE
689,9568.154006229868,2022-04-04 18:29:24.751785,2022-04-04 18:29:31.846797,0 days 00:00:07.095012,9,0.8300573407670779,0.03750245565401727,0.0020866815199369806,0.007763270120506272,10,538,684,399,0.8927433222920067,COMPLETE
3220,9568.154728857526,2022-04-05 00:59:14.925869,2022-04-05 00:59:23.533324,0 days 00:00:08.607455,10,0.7960722906147112,0.009273209064346935,0.0012295520556516767,0.007731434735353849,10,545,930,436,0.8946320997886912,COMPLETE
1359,9568.15475028193,2022-04-04 20:09:33.940030,2022-04-04 20:09:41.225403,0 days 00:00:07.285373,9,0.7664170739380455,0.026954025322309724,0.001249854983942322,0.007671305726015181,10,542,932,402,0.8932615037268321,COMPLETE
786,9568.15476770606,2022-04-04 18:43:29.744425,2022-04-04 18:43:36.659578,0 days 00:00:06.915153,9,0.7708992480152782,0.03888525895521219,0.0013191604314861441,0.008098597045203137,10,537,951,300,0.8901220756984343,COMPLETE
2827,9568.155202114402,2022-04-04 23:56:19.831843,2022-04-04 23:56:28.179164,0 days 00:00:08.347321,9,0.8051799978542211,0.029284469100827343,0.0011176829951131404,0.006772620406363093,10,540,486,519,0.8912632089001806,COMPLETE
3245,9568.155334240224,2022-04-05 01:02:56.043343,2022-04-05 01:03:04.735197,0 days 00:00:08.691854,10,0.8017431078282777,0.008662549364078165,0.0009667240001429475,0.0077616019078760815,10,543,937,423,0.8940744569866327,COMPLETE
1085,9568.155552554786,2022-04-04 19:28:30.827008,2022-04-04 19:28:37.887886,0 days 00:00:07.060878,10,0.7989820295387943,0.011041055507944535,0.0018690299146125566,0.007841079834062542,10,542,946,366,0.890991027146367,COMPLETE
2894,9568.155596206796,2022-04-05 00:07:07.371404,2022-04-05 00:07:15.841395,0 days 00:00:08.469991,10,0.7824812334460743,0.002658742180720869,0.0011983764972724634,0.006509695804577581,10,540,459,517,0.8927707640281558,COMPLETE
2964,9568.15565389735,2022-04-05 00:18:24.577213,2022-04-05 00:18:33.112092,0 days 00:00:08.534879,10,0.7872783137681191,0.010655328236297454,0.0016276587484527697,0.007781197531652479,10,545,484,525,0.8962198984191555,COMPLETE
3227,9568.155694167703,2022-04-05 01:00:15.969420,2022-04-05 01:00:24.617761,0 days 00:00:08.648341,10,0.7952554669133045,0.008062380872431543,0.0014368735418584533,0.00781793723413396,10,546,918,409,0.8964041777899086,COMPLETE
811,9568.155832414071,2022-04-04 18:47:07.087407,2022-04-04 18:47:14.119929,0 days 00:00:07.032522,9,0.753837801312648,0.008932968048311344,0.0018012017857115777,0.007717911747269867,10,542,948,406,0.8959567478268844,COMPLETE
1733,9568.15585924339,2022-04-04 21:06:19.158015,2022-04-04 21:06:26.180270,0 days 00:00:07.022255,9,0.8010070876180548,0.012217319921692492,0.002521216068016487,0.007761978069004836,10,537,948,356,0.7467987642040523,COMPLETE
1633,9568.15607301298,2022-04-04 20:51:28.705463,2022-04-04 20:51:36.517120,0 days 00:00:07.811657,10,0.8069794424570014,0.03132430351807024,0.0014736303417021248,0.006635110213635707,10,540,939,390,0.8938354005889346,COMPLETE
4349,9568.156337433871,2022-04-05 04:12:12.869803,2022-04-05 04:12:21.828020,0 days 00:00:08.958217,10,0.7611962742665264,0.024523324652736534,0.00145213472862137,0.008037138074119612,10,540,970,386,0.8960268974544038,COMPLETE
1225,9568.156722140722,2022-04-04 19:49:00.918954,2022-04-04 19:49:08.320812,0 days 00:00:07.401858,10,0.8009100758088256,0.011603661541119272,0.001533463959293427,0.007786342729844456,10,541,944,344,0.890296588024785,COMPLETE
749,9568.156767376326,2022-04-04 18:38:20.290442,2022-04-04 18:38:27.548326,0 days 00:00:07.257884,9,0.8025573030576051,0.031853036985411316,0.0027070654826112472,0.006475759184154492,10,539,651,314,0.8910206323266598,COMPLETE
3973,9568.157013065329,2022-04-05 03:07:46.258911,2022-04-05 03:07:55.086881,0 days 00:00:08.827970,9,0.8040137833476717,0.01199038173219773,0.00178304900571787,0.007919929799626118,10,541,743,357,0.8903205388358706,COMPLETE
3277,9568.157332443037,2022-04-05 01:07:47.823187,2022-04-05 01:07:56.440716,0 days 00:00:08.617529,10,0.7956533632421158,0.00929952350491,0.001004798475504754,0.007436735704463122,10,544,916,430,0.8909154588918589,COMPLETE
3868,9568.157407402668,2022-04-05 02:48:08.627506,2022-04-05 02:48:17.483428,0 days 00:00:08.855922,9,0.8459170709695784,0.013222511065261806,0.0023695222765659847,0.007700881730076236,10,546,936,407,0.8963985590329793,COMPLETE
2287,9568.157574936258,2022-04-04 22:30:16.925714,2022-04-04 22:30:24.939691,0 days 00:00:08.013977,9,0.8192151969279817,0.04996251558580168,0.0013147362681230422,0.006461049234659464,10,544,907,324,0.8998181436185786,COMPLETE
4994,9568.157774917112,2022-04-05 06:05:44.304603,2022-04-05 06:05:53.761441,0 days 00:00:09.456838,10,0.7860581987572227,0.015308111489705787,0.002024058298260996,0.00791569288959765,10,545,910,302,0.8936579270804821,COMPLETE
4479,9568.157922342076,2022-04-05 04:35:02.833458,2022-04-05 04:35:11.936407,0 days 00:00:09.102949,10,0.8005523526315284,0.03100258931692555,0.001129374174185882,0.007946133681135314,10,547,989,424,0.896592806456036,COMPLETE
1071,9568.158151434134,2022-04-04 19:25:36.014697,2022-04-04 19:25:43.284190,0 days 00:00:07.269493,10,0.7881663508314437,0.013787405919962697,0.001708874013327904,0.007805607444860347,10,543,968,461,0.8921539988135407,COMPLETE
3595,9568.158225623025,2022-04-05 02:03:05.024253,2022-04-05 02:03:13.744182,0 days 00:00:08.719929,10,0.8114878088411791,0.010880676091488253,0.001070076754586758,0.006328451757574328,10,539,933,415,0.8912958178421297,COMPLETE
4245,9568.158281271362,2022-04-05 03:54:06.820946,2022-04-05 03:54:16.089308,0 days 00:00:09.268362,10,0.7869599444757998,0.02423944756075368,0.0020127034837500333,0.008024946675222466,10,545,975,421,0.897394305226439,COMPLETE
