iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
44,2547.9269305373255,2023-01-28 13:29:00.256871,2023-01-28 13:29:17.932547,0 days 00:00:17.675676,8,0.79,9,600,1000,350,0.95,COMPLETE
448,2548.5117089100195,2023-01-28 15:56:19.044091,2023-01-28 15:56:37.078587,0 days 00:00:18.034496,9,0.79,9,600,750,350,0.95,COMPLETE
213,2548.5183420865574,2023-01-28 14:32:32.275168,2023-01-28 14:32:47.415582,0 days 00:00:15.140414,9,0.79,9,600,750,325,0.95,COMPLETE
302,2548.6134943814704,2023-01-28 15:05:47.003527,2023-01-28 15:06:01.758431,0 days 00:00:14.754904,9,0.79,9,600,750,350,0.95,COMPLETE
192,2548.6221588268872,2023-01-28 14:25:01.761084,2023-01-28 14:25:15.660503,0 days 00:00:13.899419,9,0.79,9,600,750,325,0.95,COMPLETE
165,2549.1699060152037,2023-01-28 14:16:06.572399,2023-01-28 14:16:23.073689,0 days 00:00:16.501290,9,0.79,9,600,750,325,0.95,COMPLETE
320,2549.1717477024267,2023-01-28 15:13:18.504946,2023-01-28 15:13:32.630817,0 days 00:00:14.125871,9,0.79,9,600,500,325,0.95,COMPLETE
194,2549.1752828271065,2023-01-28 14:25:39.043786,2023-01-28 14:25:53.829103,0 days 00:00:14.785317,9,0.79,9,600,750,325,0.95,COMPLETE
417,2549.1798758928617,2023-01-28 15:45:48.299896,2023-01-28 15:46:03.193081,0 days 00:00:14.893185,9,0.79,9,600,750,400,0.95,COMPLETE
382,2549.180515373101,2023-01-28 15:33:35.407061,2023-01-28 15:33:52.076569,0 days 00:00:16.669508,9,0.79,9,600,750,350,0.95,COMPLETE
117,2549.180703775181,2023-01-28 13:57:37.870061,2023-01-28 13:57:53.597890,0 days 00:00:15.727829,9,0.79,9,600,750,325,0.95,COMPLETE
363,2549.182842758924,2023-01-28 15:27:01.683796,2023-01-28 15:27:15.988822,0 days 00:00:14.305026,9,0.79,9,600,750,325,0.95,COMPLETE
158,2549.1872042804325,2023-01-28 14:13:37.352259,2023-01-28 14:13:58.538020,0 days 00:00:21.185761,9,0.79,9,600,750,325,0.95,COMPLETE
324,2549.188267796896,2023-01-28 15:14:35.812858,2023-01-28 15:14:55.953127,0 days 00:00:20.140269,9,0.79,9,600,750,325,0.95,COMPLETE
143,2549.1908237765497,2023-01-28 14:07:38.049753,2023-01-28 14:07:53.297852,0 days 00:00:15.248099,9,0.79,9,600,750,325,0.95,COMPLETE
493,2549.1910553421494,2023-01-28 16:10:46.481755,2023-01-28 16:11:03.061284,0 days 00:00:16.579529,9,0.79,9,600,750,300,0.95,COMPLETE
412,2549.1935669677,2023-01-28 15:44:05.482257,2023-01-28 15:44:19.896667,0 days 00:00:14.414410,9,0.79,9,600,750,400,0.95,COMPLETE
376,2549.1958861691232,2023-01-28 15:31:19.271725,2023-01-28 15:31:34.016882,0 days 00:00:14.745157,9,0.79,9,600,750,350,0.95,COMPLETE
135,2549.19836424107,2023-01-28 14:04:06.418354,2023-01-28 14:04:29.115319,0 days 00:00:22.696965,9,0.79,9,600,750,325,0.95,COMPLETE
403,2549.198609673667,2023-01-28 15:40:54.620355,2023-01-28 15:41:10.938504,0 days 00:00:16.318149,9,0.79,9,600,750,325,0.95,COMPLETE
138,2549.2001621110653,2023-01-28 14:05:17.240210,2023-01-28 14:05:32.997824,0 days 00:00:15.757614,9,0.79,9,600,750,325,0.95,COMPLETE
123,2549.5296461283046,2023-01-28 13:59:48.232063,2023-01-28 14:00:02.488379,0 days 00:00:14.256316,9,0.79,9,600,750,325,0.95,COMPLETE
453,2549.887545340081,2023-01-28 15:58:06.681479,2023-01-28 15:58:21.342849,0 days 00:00:14.661370,9,0.79,9,600,750,350,0.95,COMPLETE
107,2549.940748420441,2023-01-28 13:53:59.966494,2023-01-28 13:54:13.473807,0 days 00:00:13.507313,9,0.77,9,600,750,350,0.95,COMPLETE
101,2550.2394257152664,2023-01-28 13:51:32.112010,2023-01-28 13:51:47.085514,0 days 00:00:14.973504,9,0.77,9,600,750,350,0.95,COMPLETE
407,2550.350631602778,2023-01-28 15:42:25.219670,2023-01-28 15:42:39.109490,0 days 00:00:13.889820,9,0.79,9,600,750,325,0.95,COMPLETE
497,2550.350979731338,2023-01-28 16:12:05.093774,2023-01-28 16:12:18.557401,0 days 00:00:13.463627,9,0.79,9,600,750,300,0.95,COMPLETE
114,2550.3556789358536,2023-01-28 13:56:22.159755,2023-01-28 13:56:45.647175,0 days 00:00:23.487420,9,0.79,9,600,750,325,0.95,COMPLETE
478,2550.356835789416,2023-01-28 16:06:03.584400,2023-01-28 16:06:18.462510,0 days 00:00:14.878110,9,0.79,9,600,750,400,0.95,COMPLETE
156,2550.360670896448,2023-01-28 14:12:58.072156,2023-01-28 14:13:11.504889,0 days 00:00:13.432733,9,0.79,9,600,750,325,0.95,COMPLETE
319,2550.3609892953273,2023-01-28 15:12:58.330550,2023-01-28 15:13:11.710656,0 days 00:00:13.380106,9,0.79,9,600,750,325,0.95,COMPLETE
342,2550.3610179633292,2023-01-28 15:20:29.250626,2023-01-28 15:20:44.253047,0 days 00:00:15.002421,9,0.79,9,600,750,325,0.95,COMPLETE
240,2550.361850922791,2023-01-28 14:42:02.932885,2023-01-28 14:42:18.828232,0 days 00:00:15.895347,9,0.79,9,600,750,325,0.95,COMPLETE
260,2550.362977840638,2023-01-28 14:49:31.426412,2023-01-28 14:49:44.348169,0 days 00:00:12.921757,9,0.79,9,600,750,325,0.95,COMPLETE
297,2550.3653624807757,2023-01-28 15:03:51.813497,2023-01-28 15:04:06.493321,0 days 00:00:14.679824,9,0.79,9,600,750,325,0.95,COMPLETE
150,2550.366126789741,2023-01-28 14:10:39.685177,2023-01-28 14:10:53.340345,0 days 00:00:13.655168,9,0.79,9,600,750,325,0.95,COMPLETE
134,2550.366574490735,2023-01-28 14:03:46.812739,2023-01-28 14:04:00.100702,0 days 00:00:13.287963,9,0.79,9,600,750,325,0.95,COMPLETE
274,2550.36841744427,2023-01-28 14:55:01.860849,2023-01-28 14:55:20.594279,0 days 00:00:18.733430,9,0.79,9,600,750,325,0.95,COMPLETE
425,2550.3686535416205,2023-01-28 15:48:30.514311,2023-01-28 15:48:44.399402,0 days 00:00:13.885091,9,0.79,9,600,750,400,0.95,COMPLETE
278,2550.368828287129,2023-01-28 14:56:35.961585,2023-01-28 14:56:49.050839,0 days 00:00:13.089254,9,0.79,9,600,750,325,0.95,COMPLETE
303,2550.3702401015803,2023-01-28 15:06:08.314994,2023-01-28 15:06:21.590704,0 days 00:00:13.275710,9,0.79,9,600,750,350,0.95,COMPLETE
